Tiers_Key_Payeur;salaire;Age;Frequence_Paiements;Total_des_cheques;Montant_moy_par_opperation;Ecart_Type_Cheques;Nombres_cheques_par_client;code_postal;Code_Agence;Tranche_Age;Tranche_Salaire;Civilite;Sexe;Statut_Civil;Segment;Situation_Contractuelle;ville;Agence;Stabilite_Client;Classe_Client;Saison_Operation;Montant_moyen_par_cheque;Ratio_cheques_salaire;segment_carte_credit
3187;1969.699;56;1;2040.0;2040.0;0.0;6;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;340.0;1.0356912401336449;Utilisateurs Occasionnels
3375;1463.376;56;3;1010.0;336.6666666666667;46.18802153517006;11;1000;0;Tranche 51 - 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;91.8181818181818;0.2300616291825659;Utilisateurs Occasionnels
3701;1852.243;75;1;6000.0;6000.0;0.0;4;1000;0;Tranche sup 60;Tranche 1500 - 2000;Ms;Female;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Automne;1500.0;3.2393157917184734;Utilisateurs Occasionnels
3732;1939.535;56;2;9260.745;4630.3725;16.12203461105325;15;1002;108;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;Inconnu;Inconnu;TUNIS BELVEDERE;LE BELVEDERE;Stable;Client Ã  potentiel;Automne;617.3829999999999;2.3873621770166555;Utilisateurs Occasionnels
3789;8.727;56;9;20854.547;2317.1718888888886;258.7656865686816;36;1000;0;Tranche 51 - 60;Tranche 0 - 700;N/A;N/A;Non specifie;Inconnu;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Automne;579.2929722222221;265.5175763594464;Utilisateurs Occasionnels
3985;1805.773;86;2;18000.0;9000.0;707.1067811865476;12;1000;0;Tranche sup 60;Tranche 1500 - 2000;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Printemps;1500.0;4.9840151558363095;Utilisateurs Occasionnels
4084;1266.346;79;1;1200.0;1200.0;0.0;4;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;300.0;0.9476083155788386;Utilisateurs Occasionnels
4166;3960.295;56;2;1560.775;780.3875;109.01818798943594;11;1000;0;Tranche 51 - 60;Tranche Sup 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Automne;141.88863636363638;0.1970528710613729;Utilisateurs Occasionnels
4176;2962.656;91;4;42400.0;10600.0;298.607881119482;22;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;1927.2727272727277;3.5778706674011427;Utilisateurs Occasionnels
4189;382.904;73;1;825.0;825.0;0.0;5;1000;0;Tranche sup 60;Tranche 0 - 700;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;165.0;2.154587050540083;Utilisateurs Occasionnels
4254;7298.774;85;9;3185.88;353.9866666666667;23.6920621962528;60;1000;0;Tranche sup 60;Tranche Sup 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;53.098;0.0484994694542763;Utilisateurs Occasionnels
4285;2445.01;71;1;540.0;540.0;0.0;3;1000;0;Tranche sup 60;Tranche 2000 - 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;180.0;0.220857992400849;Utilisateurs Occasionnels
4296;2713.333;76;2;1800.0;900.0;70.71067811865476;7;1000;0;Tranche sup 60;Tranche 2000 - 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;257.1428571428572;0.3316953724441489;Utilisateurs Occasionnels
4301;1939.535;56;1;141.705;141.705;0.0;3;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;Inconnu;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;47.23500000000001;0.0730613265550763;Utilisateurs Occasionnels
4308;1090.793;73;1;1200.0;1200.0;0.0;3;1000;0;Tranche sup 60;Tranche 1000 - 1500;Ms;Female;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;400.0;1.1001170707916168;Utilisateurs Occasionnels
4338;1939.535;56;2;8019.621;4009.8105;0.0028284271247596;21;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;TPE;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Hiver;381.8867142857143;2.0674081674215725;Utilisateurs Occasionnels
4397;3993.51;21;1;1009.04;1009.04;0.0;4;1000;0;Tranche inf 26;Tranche Sup 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;252.26;0.252669957005241;Utilisateurs Occasionnels
4576;1393.819;56;2;21600.0;10800.0;282.842712474619;48;1000;0;Tranche 51 - 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Hiver;450.0;7.748495321128497;Utilisateurs Occasionnels
4725;908.46;76;3;1290.0;430.0;37.859388972001824;18;1000;0;Tranche sup 60;Tranche 700 - 1000;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;ÃtÃ©;71.66666666666667;0.4733284899720406;Utilisateurs Occasionnels
4748;857.441;82;4;1407.0;351.75;67.63813027181241;13;1000;0;Tranche sup 60;Tranche 700 - 1000;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;108.23076923076924;0.4102323075290311;Utilisateurs Occasionnels
4752;1348.032;86;7;2523.0;360.4285714285714;37.11180020270796;38;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;66.39473684210526;0.2673738987120272;Utilisateurs Occasionnels
4757;1392.345;56;1;1320.0;1320.0;0.0;11;1000;0;Tranche 51 - 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;ÃtÃ©;120.0;0.9480408950367905;Utilisateurs Occasionnels
4836;867.047;74;8;2415.6;301.95;56.30802879823495;47;1000;0;Tranche sup 60;Tranche 700 - 1000;Mr;Male;Single;Professional;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;51.39574468085106;0.3482510175342282;Utilisateurs Occasionnels
4933;1223.423;84;7;11591.6;1655.9428571428573;222.641736557059;42;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Married;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Automne;275.9904761904762;1.3535325534527771;Utilisateurs Occasionnels
5174;1852.243;84;3;1598.8;532.9333333333333;32.03144288559811;17;1000;0;Tranche sup 60;Tranche 1500 - 2000;Ms;Female;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;94.0470588235294;0.2877232270999719;Utilisateurs Occasionnels
5225;1444.566;79;5;1749.0;349.8;23.599788134642225;21;1000;0;Tranche sup 60;Tranche 1000 - 1500;Ms;Female;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;83.28571428571429;0.242148853011908;Utilisateurs Occasionnels
5528;1888.365;85;1;2400.0;2400.0;0.0;3;1000;0;Tranche sup 60;Tranche 1500 - 2000;Ms;Female;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;800.0;1.2709407344448769;Utilisateurs Occasionnels
5539;1931.677;88;2;1157.375;578.6875;133.3073059231939;10;1000;0;Tranche sup 60;Tranche 1500 - 2000;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Hiver;115.7375;0.2995777762017149;Utilisateurs Occasionnels
5543;2120.152;85;1;1026.0;1026.0;0.0;3;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;342.0;0.4839275674574275;Utilisateurs Occasionnels
5560;2547.992;56;2;1000.0;500.0;70.71067811865476;7;1000;0;Tranche 51 - 60;Tranche 2000 - 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;142.85714285714286;0.1962329552055108;Utilisateurs Occasionnels
5561;1939.535;56;3;8539.407;2846.469;820.6917626200067;10;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;TPE;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;853.9406999999999;1.467603832877468;Utilisateurs Occasionnels
5643;984.345;76;2;1761.0;880.5;292.03510063004416;6;1000;0;Tranche sup 60;Tranche 700 - 1000;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Printemps;293.5;0.894503451533761;Utilisateurs Occasionnels
5886;1356.043;77;4;980.0;245.0;20.816659994661325;13;1000;0;Tranche sup 60;Tranche 1000 - 1500;Ms;Female;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;75.38461538461539;0.1806727367789959;Utilisateurs Occasionnels
5888;1411.353;56;1;606.0;606.0;0.0;3;1000;0;Tranche 51 - 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;202.0;0.4293752165475256;Utilisateurs Occasionnels
6097;2077.678;82;17;30084.725;1769.6897058823529;447.6338241044186;118;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;Entrepreneur;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client VIP;Automne;254.95529661016948;0.8517632211932518;Utilisateurs Occasionnels
6334;2946.935;56;5;3039.92;607.984;28.09039123971042;24;1000;0;Tranche 51 - 60;Tranche 2000 - 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;126.66333333333334;0.2063106244284316;Utilisateurs Occasionnels
6400;1367.909;77;5;6560.0;1312.0;274.4631122755843;16;1000;0;Tranche sup 60;Tranche 1000 - 1500;Ms;Female;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Automne;410.0;0.9591281291372452;Utilisateurs Occasionnels
6544;1852.243;86;2;2282.94;1141.47;184.5407277540652;10;1000;0;Tranche sup 60;Tranche 1500 - 2000;Mr;Male;Single;Professional;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Automne;228.294;0.616263632795481;Utilisateurs Occasionnels
6612;3163.156;79;5;4470.68;894.1360000000001;69.04315809694687;20;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;223.534;0.2826721160764756;Utilisateurs Occasionnels
6613;2546.814;56;1;7500.0;7500.0;0.0;3;1000;0;Tranche 51 - 60;Tranche 2000 - 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Hiver;2500.0;2.9448558080802134;Utilisateurs Occasionnels
6646;2967.807;82;1;1590.0;1590.0;0.0;3;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;530.0;0.5357491238480131;Utilisateurs Occasionnels
6651;2000.949;79;1;1200.0;1200.0;0.0;4;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;300.0;0.5997154350260802;Utilisateurs Occasionnels
6714;1033.322;82;1;600.0;600.0;0.0;3;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;200.0;0.5806515297264552;Utilisateurs Occasionnels
6739;4770.218;75;1;12000.0;12000.0;0.0;4;1000;0;Tranche sup 60;Tranche Sup 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Hiver;3000.0;2.5156083013396877;Utilisateurs Occasionnels
6748;1389.755;76;4;1230.0;307.5;4.999999999999999;17;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Married;Particulier;Actif en CDI;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;72.3529411764706;0.221262021003702;Utilisateurs Occasionnels
6842;1616.999;72;3;4347.0;1449.0;45.720163312627534;10;1000;0;Tranche sup 60;Tranche 1500 - 2000;Ms;Female;Widowed;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Hiver;434.7;0.8961044502810454;Utilisateurs Occasionnels
6854;1939.535;56;3;25375.392000000003;8458.464;3284.321775746301;15;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;Inconnu;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;1691.6928000000005;4.361078299695546;Utilisateurs Occasionnels
6870;604.718;79;1;2500.0;2500.0;0.0;5;1000;0;Tranche sup 60;Tranche 0 - 700;Mr;Male;Married;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;500.0;4.13415840110597;Utilisateurs Occasionnels
6897;1567.78;80;7;4164.0;594.8571428571429;124.47757495495593;33;1000;0;Tranche sup 60;Tranche 1500 - 2000;Ms;Female;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Hiver;126.1818181818182;0.3794264136914254;Utilisateurs Occasionnels
7047;2514.374;80;1;469.65;469.65;0.0;6;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;78.27499999999999;0.1867860548987541;Utilisateurs Occasionnels
7067;947.407;83;1;3600.0;3600.0;0.0;4;1000;0;Tranche sup 60;Tranche 700 - 1000;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Automne;900.0;3.799845261856837;Utilisateurs Occasionnels
7138;1625.07;68;1;125.415;125.415;0.0;3;1000;0;Tranche sup 60;Tranche 1500 - 2000;Mrs;Female;Married;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;41.805;0.0771751370710184;Utilisateurs Occasionnels
7257;2047.189;81;2;11370.954;5685.477;799.1056160596045;15;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mrs;Female;Widowed;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;758.0636;2.7772115813439795;Utilisateurs Occasionnels
7258;1440.873;73;4;919.56;229.89;17.548966493785322;17;1000;0;Tranche sup 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;54.09176470588235;0.159549106687404;Utilisateurs Occasionnels
7274;1939.535;56;6;39310.697;6551.782833333334;2537.7437316129262;43;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;PME;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Hiver;914.2022558139536;3.3780173254585937;Utilisateurs Occasionnels
7277;1056.922;56;1;600.775;600.775;0.0;7;1000;0;Tranche 51 - 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;85.825;0.5684194292483267;Utilisateurs Occasionnels
7327;405.109;70;1;639.248;639.248;0.0;4;1000;0;Tranche sup 60;Tranche 0 - 700;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;159.812;1.577965436462779;Utilisateurs Occasionnels
7340;6038.435999999999;75;3;24650.0;8216.666666666666;3415.059784737792;12;1000;0;Tranche sup 60;Tranche Sup 3500;Mr;Male;Single;Professional;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;2054.1666666666665;1.360727623289651;Utilisateurs Occasionnels
7384;1058.794;77;6;2773.36;462.2266666666667;66.88497031595863;24;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;115.55666666666669;0.436559582569099;Utilisateurs Occasionnels
7558;2001.258;76;2;333.687;166.8435;0.2962777413171613;6;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;55.6145;0.0833693107035674;Utilisateurs Occasionnels
7699;1588.257;80;5;3172.0;634.4;129.15030003836614;20;1000;0;Tranche sup 60;Tranche 1500 - 2000;Ms;Female;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Automne;158.6;0.3994315781388024;Utilisateurs Occasionnels
7713;2014.69;72;1;240.0;240.0;0.0;3;1000;0;Tranche sup 60;Tranche 2000 - 3500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;80.0;0.1191250266790424;Utilisateurs Occasionnels
7777;1939.535;93;1;20000.0;20000.0;0.0;4;1000;0;Tranche sup 60;Tranche 1500 - 2000;Mr;Male;Single;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client Ã  potentiel;Printemps;5000.0;10.311749981309951;Utilisateurs Occasionnels
7789;3154.366;86;5;4470.0;894.0;106.39548862616309;36;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Married;Professional;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;ÃtÃ©;124.16666666666669;0.2834166992669842;Utilisateurs Occasionnels
7839;4142.497;77;6;1968.24;328.04;12.761201615312984;37;1000;0;Tranche sup 60;Tranche Sup 3500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;53.19567567567567;0.0791889529431161;Utilisateurs Occasionnels
7877;4089.39;71;3;7720.0;2573.333333333333;510.5226080530943;13;1000;0;Tranche sup 60;Tranche Sup 3500;Mr;Male;Married;Particulier;Actif en CDI;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;593.8461538461538;0.629270706225949;Utilisateurs Occasionnels
8031;460.507;80;2;225.24;112.62;3.59210244842766;7;1000;0;Tranche sup 60;Tranche 0 - 700;Mr;Male;Married;Professional;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;32.17714285714286;0.2445565431144369;Utilisateurs Occasionnels
8131;2236.134;84;5;17556.0;3511.2;364.25924833832295;30;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client rÃ©gulier;Printemps;585.2;1.5702100142478044;Utilisateurs Occasionnels
8142;1622.112;56;5;2448.98;489.796;21.293519671486912;52;1000;0;Tranche 51 - 60;Tranche 1500 - 2000;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Printemps;47.09576923076923;0.3019495571205934;Utilisateurs Occasionnels
8441;5640.409;74;4;6830.0;1707.5;438.7102308661911;21;1000;0;Tranche sup 60;Tranche Sup 3500;Mr;Male;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Automne;325.23809523809524;0.3027262739280077;Utilisateurs Occasionnels
8493;2980.4410000000003;80;3;470.0;156.66666666666666;9.237604307034012;11;1000;0;Tranche sup 60;Tranche 2000 - 3500;Mr;Male;Married;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Hiver;42.72727272727273;0.0525649280313439;Utilisateurs Occasionnels
8500;2638.344;81;10;5315.0;531.5;70.71264227687846;41;1000;0;Tranche sup 60;Tranche 2000 - 3500;Ms;Female;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client rÃ©gulier;Automne;129.6341463414634;0.2014521229983656;Utilisateurs Occasionnels
8508;1543.498;77;2;3630.0;1815.0;148.492424049175;6;1000;0;Tranche sup 60;Tranche 1500 - 2000;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client Ã  potentiel;Printemps;605.0;1.175900454681509;Utilisateurs Occasionnels
8509;820.12;84;2;1900.4;950.2;107.98934762280956;8;1000;0;Tranche sup 60;Tranche 700 - 1000;Ms;Female;Single;Particulier;Sans activitÃÂ© salariale;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Automne;237.55;1.158610934985124;Utilisateurs Occasionnels
8560;1266.194;56;1;900.0;900.0;0.0;3;1000;0;Tranche 51 - 60;Tranche 1000 - 1500;N/A;N/A;Non specifie;Particulier;Inconnu;TUNIS RP;AV.H.THAMEUR TUNIS;Stable;Client faible;Automne;300.0;0.7107915532690884;Utilisateurs Occasionnels
8615;1262.061;67;2;2492.0;1246.0;201.52543263816605;11;1000;0;Tranche sup 60;Tranche 1000 - 1500;Mr;Male;Single;Particulier;RetraitÃÂ©;TUNIS RP;AV.H.THAMEUR TUNIS;Instable;Client faible;Automne;226.54545454545453;0.9872739907183568;Utilisateurs Occasionnels
